ID,Data,Produto,Categoria,Quantidade,Preço
52,19/11/2023,Brinco luz,Brinco,10,"R$ 50,00"
53,20/11/2023,Brinco Trio perola,Brinco,,"R$ 50,00"
54,21/11/2023,Pulseira onda,Pulseira,,"R$ 20,00"
55,22/11/2023,Brinco luz,Brinco,9,"R$ 50,00"
56,23/11/2023,Brinco Trio perola,Brinco,7,"R$ 50,00"
57,24/11/2023,Conjunto Terco,Conjunto,,"R$ 80,00"
58,25/11/2023,Brinco Trio perola,Brinco,6,"R$ 50,00"
59,20/12/2023,Brinco1,Brinco,2,"R$ 50,00"
60,21/12/2023,Anel coracao,Anel,8,"R$ 30,00"
61,22/12/2023,Conjunto Azul,Conjunto,12,"R$ 80,00"
66,23/12/2023,Colar Pedras,Colar,12,"R$ 70,00"
63,24/12/2023,Brinco Trio perola,Brinco,2,"R$ 50,00"
64,25/12/2023,Brinco2,Brinco,6,"R$ 50,00"
65,26/12/2023,Colar Pedras,Colar,13,"R$ 70,00"
66,27/12/2023,Colar Familia ,Colar,,"R$ 70,00"
67,20/01/2023,Brinco luz,Brinco,8,"R$ 50,00"
68,21/01/2023,Conjunto Terco,Conjunto,2,"R$ 80,00"
69,22/01/2023,Brinco2,Brinco,9,"R$ 50,00"
70,23/01/2023,Colar Pedras,Colar,11,"R$ 70,00"
71,24/01/2023,Brinco luz,Brinco,7,"R$ 50,00"
72,25/01/2023,Brinco Trio perola,Brinco,8,"R$ 50,00"
73,05/09/2023,Anel coracao,Anel,10,"R$ 30,00"
74,06/09/2023,Colar Pedras,Colar,10,"R$ 70,00"
75,07/09/2023,Brinco Trio perola,Brinco,5,"R$ 50,00"
76,08/09/2023,Colar Familia ,Colar,5,"R$ 70,00"
77,09/09/2023,Brinco luz,Brinco,6,"R$ 50,00"
78,10/09/2023,Pulseira onda,Pulseira,2,"R$ 20,00"
79,09/08/2023,Colar Colorido ,Colar,4,"R$ 70,00"
80,10/08/2023,Colar Colorido ,Colar,3,"R$ 70,00"
81,11/08/2023,Pulseira Borboleta,Pulseira,1,"R$ 20,00"
82,12/08/2023,Brinco Trio Verde,Brinco,,"R$ 50,00"
83,13/08/2023,Colar Colorido ,Colar,2,"R$ 70,00"
84,14/08/2023,Conjunto Terco,Conjunto,,"R$ 80,00"
85,15/08/2023,Brinco Trio perola,Brinco,3,"R$ 50,00"
86,08/04/2023,Brinco luz,Brinco,5,"R$ 50,00"
87,09/04/2023,Pulseira Borboleta,Pulseira,3,"R$ 20,00"
88,10/04/2023,Colar Colorido ,Colar,,"R$ 70,00"
89,11/04/2023,Brinco Trio Verde,Brinco,18,"R$ 50,00"
90,12/04/2023,Pulseira onda,Pulseira,18,"R$ 20,00"
91,13/04/2023,Colar Colorido ,Colar,,"R$ 70,00"
92,09/06/2023,Pulseira Borboleta,Pulseira,3,"R$ 20,00"
93,10/06/2023,Pulseira onda,Pulseira,14,"R$ 20,00"
94,11/06/2023,Colar Colorido ,Colar,1,"R$ 70,00"
95,12/06/2023,Brinco Trio perola,Brinco,4,"R$ 50,00"
96,13/06/2023,Brinco Trio Verde,Brinco,19,"R$ 50,00"
97,14/06/2023,Brinco Trio perola,Brinco,3,"R$ 50,00"
98,15/06/2023,Pulseira onda,Pulseira,17,"R$ 20,00"
99,16/06/2023,Pulseira onda,Pulseira,16,"R$ 20,00"
